obs,acts,infos,rews,terminal
"[0.013483255170285702, 0.014640764333307743, 0.044949695467948914, -0.013926167972385883]",1,{},1.0,True
"[0.013776070438325405, 0.2090902179479599, 0.04467117041349411, -0.29209497570991516]",0,{},1.0,True
"[0.01795787550508976, 0.013360747136175632, 0.038829270750284195, 0.014335297979414463]",0,{},1.0,True
"[0.018225090578198433, -0.18229593336582184, 0.03911597654223442, 0.3190120458602905]",1,{},1.0,True
"[0.014579171314835548, 0.012247725389897823, 0.04549621790647507, 0.0389169342815876]",1,{},1.0,True
"[0.014824125915765762, 0.20668873190879822, 0.04627455770969391, -0.23907150328159332]",0,{},1.0,True
"[0.018957899883389473, 0.010937311686575413, 0.04149312898516655, 0.06784117966890335]",0,{},1.0,True
"[0.019176647067070007, -0.18475420773029327, 0.04284995049238205, 0.3733212649822235]",1,{},1.0,True
"[0.015481562353670597, 0.009733679704368114, 0.050316374748945236, 0.09445127099752426]",1,{},1.0,True
"[0.015676235780119896, 0.20409969985485077, 0.0522054024040699, -0.18194200098514557]",0,{},1.0,True
"[0.019758230075240135, 0.008271107450127602, 0.048566561192274094, 0.12674210965633392]",1,{},1.0,True
"[0.019923651590943336, 0.20266488194465637, 0.051101405173540115, -0.1502317637205124]",0,{},1.0,True
"[0.023976949974894524, 0.006849837489426136, 0.04809676855802536, 0.158124640583992]",1,{},1.0,True
"[0.02411394566297531, 0.20125137269496918, 0.05125926062464714, -0.11900543421506882]",1,{},1.0,True
"[0.02813897468149662, 0.39560285210609436, 0.04887915402650833, -0.3950861096382141]",0,{},1.0,True
"[0.036051031202077866, 0.19982264935970306, 0.04097742959856987, -0.08740182220935822]",0,{},1.0,True
"[0.04004748538136482, 0.004138017538934946, 0.039229393005371094, 0.21792271733283997]",1,{},1.0,True
"[0.040130242705345154, 0.19867786765098572, 0.04358784854412079, -0.06213204935193062]",0,{},1.0,True
"[0.044103801250457764, 0.0029589426703751087, 0.042345207184553146, 0.24397826194763184]",1,{},1.0,True
"[0.04416298121213913, 0.19745127856731415, 0.04722477123141289, -0.035052958875894547]",0,{},1.0,True
"[0.04811200499534607, 0.0016850446118041873, 0.04652371257543564, 0.27214792370796204]",1,{},1.0,True
