obs,acts,infos,rews,terminal
"[0.02235761657357216, 0.042088303714990616, 0.039277903735637665, -0.03650796040892601]",1,{},1.0,True
"[0.023199383169412613, 0.23662564158439636, 0.03854774311184883, -0.31654414534568787]",0,{},1.0,True
"[0.02793189510703087, 0.04097643122076988, 0.03221685811877251, -0.011958133429288864]",1,{},1.0,True
"[0.028751423582434654, 0.2356218844652176, 0.03197769820690155, -0.2943046987056732]",0,{},1.0,True
"[0.03346386179327965, 0.04005897417664528, 0.026091603562235832, 0.008289546705782413]",0,{},1.0,True
"[0.03426504135131836, -0.1554272621870041, 0.02625739388167858, 0.30908915400505066]",1,{},1.0,True
"[0.031156495213508606, 0.039310917258262634, 0.03243917599320412, 0.024801364168524742]",0,{},1.0,True
"[0.031942714005708694, -0.15626086294651031, 0.03293520584702492, 0.3275401294231415]",1,{},1.0,True
"[0.028817497193813324, 0.038377098739147186, 0.039486005902290344, 0.045422736555337906]",0,{},1.0,True
"[0.029585039243102074, -0.15728816390037537, 0.040394462645053864, 0.3502977192401886]",0,{},1.0,True
"[0.026439275592565536, -0.35296061635017395, 0.04740041494369507, 0.6554397344589233]",1,{},1.0,True
"[0.01938006281852722, -0.15852952003479004, 0.06050921231508255, 0.37805116176605225]",0,{},1.0,True
"[0.016209473833441734, -0.3544562757015228, 0.06807023286819458, 0.6891822814941406]",1,{},1.0,True
"[0.009120347909629345, -0.16034173965454102, 0.08185388147830963, 0.4186820089817047]",1,{},1.0,True
"[0.005913512781262398, 0.033530689775943756, 0.09022752195596695, 0.15288519859313965]",1,{},1.0,True
"[0.006584126502275467, 0.22725263237953186, 0.0932852253317833, -0.11002478003501892]",0,{},1.0,True
"[0.011129179038107395, 0.030926328152418137, 0.09108472615480423, 0.21057036519050598]",1,{},1.0,True
"[0.01174770575016737, 0.22463586926460266, 0.09529613703489304, -0.052047569304704666]",1,{},1.0,True
"[0.016240423545241356, 0.41827136278152466, 0.09425518661737442, -0.31320828199386597]",0,{},1.0,True
"[0.024605849757790565, 0.22194190323352814, 0.08799102157354355, 0.0076487441547214985]",1,{},1.0,True
"[0.029044687747955322, 0.41569894552230835, 0.08814399689435959, -0.2560264766216278]",1,{},1.0,True
"[0.03735866770148277, 0.6094591021537781, 0.08302346616983414, -0.519657552242279]",0,{},1.0,True
"[0.04954785108566284, 0.413272500038147, 0.07263031601905823, -0.20201043784618378]",0,{},1.0,True
"[0.05781329795718193, 0.21719102561473846, 0.06859010457992554, 0.1126708835363388]",1,{},1.0,True
"[0.06215712055563927, 0.4112665355205536, 0.07084351778030396, -0.15760816633701324]",0,{},1.0,True
