obs,acts,infos,rews,terminal
"[0.04952748119831085, 0.02011549100279808, 0.02632053755223751, -0.037708111107349396]",1,{},1.0,True
"[0.04992979019880295, 0.2148503065109253, 0.025566374883055687, -0.3219718337059021]",0,{},1.0,True
"[0.054226797074079514, 0.01937379129230976, 0.01912693865597248, -0.021337170153856277]",0,{},1.0,True
"[0.054614271968603134, -0.176017165184021, 0.018700195476412773, 0.2773186266422272]",0,{},1.0,True
"[0.0510939285159111, -0.3714008331298828, 0.024246567860245705, 0.575840413570404]",1,{},1.0,True
"[0.04366591200232506, -0.1766270101070404, 0.03576337546110153, 0.2908933758735657]",1,{},1.0,True
"[0.04013337194919586, 0.01796722039580345, 0.04158124327659607, 0.009700853377580643]",1,{},1.0,True
"[0.040492717176675797, 0.2124689370393753, 0.041775260120630264, -0.26957815885543823]",0,{},1.0,True
"[0.044742096215486526, 0.016776496544480324, 0.036383699625730515, 0.03598273918032646]",0,{},1.0,True
"[0.045077625662088394, -0.1788478046655655, 0.03710335120558739, 0.33991944789886475]",1,{},1.0,True
"[0.04150066897273064, 0.01572711020708084, 0.04390174150466919, 0.05916382372379303]",1,{},1.0,True
"[0.04181521013379097, 0.2101929932832718, 0.04508501663804054, -0.21935097873210907]",0,{},1.0,True
"[0.046019069850444794, 0.014456545934081078, 0.04069799929857254, 0.08720585703849792]",1,{},1.0,True
"[0.04630820080637932, 0.20897221565246582, 0.042442116886377335, -0.1923641413450241]",0,{},1.0,True
"[0.05048764497041702, 0.013269620947539806, 0.03859483078122139, 0.11339963227510452]",1,{},1.0,True
"[0.05075303837656975, 0.2078179121017456, 0.04086282476782799, -0.1668614149093628]",1,{},1.0,True
"[0.054909396916627884, 0.4023318290710449, 0.03752559795975685, -0.4463784098625183]",0,{},1.0,True
"[0.06295603513717651, 0.2066996544599533, 0.028598029166460037, -0.1421068012714386]",0,{},1.0,True
"[0.06709002703428268, 0.011180052533745766, 0.02575589343905449, 0.15945935249328613]",1,{},1.0,True
