obs,acts,infos,rews,terminal
"[0.012497168965637684, 0.023971136659383774, -0.019268527626991272, 0.028689252212643623]",1,{},1.0,True
"[0.012976591475307941, 0.21936403214931488, -0.018694743514060974, -0.2700102925300598]",0,{},1.0,True
"[0.01736387237906456, 0.024513784795999527, -0.024094948545098305, 0.01671808399260044]",1,{},1.0,True
"[0.017854148522019386, 0.21997284889221191, -0.023760586977005005, -0.283468633890152]",0,{},1.0,True
"[0.022253604605793953, 0.025197714567184448, -0.029429960995912552, 0.0016266378806903958]",1,{},1.0,True
"[0.02275756001472473, 0.22072909772396088, -0.029397428035736084, -0.3001945912837982]",0,{},1.0,True
"[0.027172140777111053, 0.026038235053420067, -0.03540131822228432, -0.016926074400544167]",0,{},1.0,True
"[0.02769290655851364, -0.16855861246585846, -0.03573983907699585, 0.26438048481941223]",1,{},1.0,True
"[0.02432173304259777, 0.027054758742451668, -0.03045223094522953, -0.03935746103525162]",1,{},1.0,True
"[0.024862829595804214, 0.22259986400604248, -0.031239381060004234, -0.3414906859397888]",1,{},1.0,True
"[0.02931482531130314, 0.4181520342826843, -0.038069192320108414, -0.6438587307929993]",0,{},1.0,True
"[0.037677865475416183, 0.2235807478427887, -0.050946369767189026, -0.3634029030799866]",0,{},1.0,True
"[0.04214948043227196, 0.029218493029475212, -0.058214426040649414, -0.0872095450758934]",0,{},1.0,True
"[0.042733851820230484, -0.16502277553081512, -0.05995861813426018, 0.18655343353748322]",1,{},1.0,True
"[0.039433397352695465, 0.030903492122888565, -0.05622754991054535, -0.12442513555288315]",0,{},1.0,True
"[0.04005146399140358, -0.16336973011493683, -0.058716051280498505, 0.15000197291374207]",1,{},1.0,True
"[0.03678407147526741, 0.03254171088337898, -0.05571601167321205, -0.1606113761663437]",0,{},1.0,True
"[0.037434905767440796, -0.16174015402793884, -0.0589282400906086, 0.11398719251155853]",0,{},1.0,True
"[0.03420010209083557, -0.3559704124927521, -0.05664849653840065, 0.3875119686126709]",1,{},1.0,True
"[0.02708069421350956, -0.16009201109409332, -0.048898257315158844, 0.07751993834972382]",1,{},1.0,True
"[0.023878853768110275, 0.03569559007883072, -0.04734785854816437, -0.2301807850599289]",1,{},1.0,True
"[0.024592766538262367, 0.2314610332250595, -0.05195147171616554, -0.5374149084091187]",0,{},1.0,True
"[0.02922198548913002, 0.03710651397705078, -0.06269977241754532, -0.261543333530426]",0,{},1.0,True
"[0.02996411733329296, -0.15706698596477509, -0.06793063879013062, 0.0107229333370924]",0,{},1.0,True
"[0.026822777464985847, -0.3511522710323334, -0.06771618127822876, 0.2812231779098511]",0,{},1.0,True
"[0.01979973167181015, -0.5452462434768677, -0.06209171563386917, 0.5518035292625427]",1,{},1.0,True
"[0.008894805796444416, -0.3493097424507141, -0.05105564370751381, 0.24022188782691956]",0,{},1.0,True
"[0.0019086115062236786, -0.5436666011810303, -0.04625120759010315, 0.5163734555244446]",1,{},1.0,True
"[-0.0089647201821208, -0.3479249179363251, -0.03592373803257942, 0.20948189496994019]",1,{},1.0,True
"[-0.015923218801617622, -0.15230819582939148, -0.031734101474285126, -0.09431315213441849]",0,{},1.0,True
"[-0.018969383090734482, -0.34696128964424133, -0.03362036496400833, 0.18819120526313782]",0,{},1.0,True
"[-0.025908607989549637, -0.5415865182876587, -0.029856540262699127, 0.47008153796195984]",1,{},1.0,True
"[-0.03674033656716347, -0.346055805683136, -0.020454909652471542, 0.16813968122005463]",0,{},1.0,True
"[-0.0436614528298378, -0.5408790707588196, -0.017092116177082062, 0.4543001353740692]",0,{},1.0,True
"[-0.05447903648018837, -0.735755205154419, -0.008006113581359386, 0.7415468096733093]",1,{},1.0,True
"[-0.06919413805007935, -0.5405237078666687, 0.006824823096394539, 0.44635510444641113]",1,{},1.0,True
"[-0.08000461757183075, -0.3454989492893219, 0.015751926228404045, 0.15583129227161407]",1,{},1.0,True
"[-0.08691459149122238, -0.15060602128505707, 0.018868550658226013, -0.13184094429016113]",0,{},1.0,True
"[-0.08992671221494675, -0.3459931015968323, 0.016231732442975044, 0.16673453152179718]",0,{},1.0,True
"[-0.0968465730547905, -0.5413435697555542, 0.019566424190998077, 0.46449360251426697]",1,{},1.0,True
"[-0.10767344385385513, -0.34650352597236633, 0.028856296092271805, 0.17804159224033356]",1,{},1.0,True
"[-0.11460351943969727, -0.15180614590644836, 0.03241712599992752, -0.10540031641721725]",0,{},1.0,True
"[-0.11763963848352432, -0.34737730026245117, 0.030309120193123817, 0.1973312497138977]",1,{},1.0,True
"[-0.12458718568086624, -0.15270169079303741, 0.0342557467520237, -0.08563853055238724]",0,{},1.0,True
"[-0.1276412159204483, -0.34829750657081604, 0.03254297375679016, 0.21765229105949402]",1,{},1.0,True
"[-0.13460716605186462, -0.1536555141210556, 0.03689602017402649, -0.06459017097949982]",0,{},1.0,True
