obs,acts,infos,rews,terminal
"[-0.03779875859618187, 0.037681497633457184, -0.017236635088920593, 0.031939029693603516]",1,{},1.0,True
"[-0.037045128643512726, 0.23304633796215057, -0.01659785397350788, -0.26613202691078186]",0,{},1.0,True
"[-0.032384201884269714, 0.03816515952348709, -0.021920494735240936, 0.021269941702485085]",0,{},1.0,True
"[-0.031620897352695465, -0.15663568675518036, -0.021495096385478973, 0.3069568872451782]",1,{},1.0,True
"[-0.03475361317396164, 0.03878586366772652, -0.015355957671999931, 0.007573220878839493]",0,{},1.0,True
"[-0.033977895975112915, -0.15611253678798676, -0.015204493887722492, 0.2953718602657318]",1,{},1.0,True
"[-0.03710014373064041, 0.0392228402197361, -0.009297056123614311, -0.0020672683604061604]",0,{},1.0,True
"[-0.036315687000751495, -0.15576454997062683, -0.00933840125799179, 0.2876678705215454]",0,{},1.0,True
"[-0.03943097963929176, -0.3507520854473114, -0.0035850435961037874, 0.5773909687995911]",0,{},1.0,True
"[-0.046446021646261215, -0.5458236336708069, 0.007962776347994804, 0.868942379951477]",1,{},1.0,True
"[-0.05736249312758446, -0.3508108854293823, 0.02534162439405918, 0.5787736177444458]",1,{},1.0,True
"[-0.06437870860099792, -0.1560530960559845, 0.03691709786653519, 0.29418036341667175]",1,{},1.0,True
"[-0.06749977171421051, 0.03852361440658569, 0.04280070215463638, 0.013365320861339569]",0,{},1.0,True
"[-0.06672929972410202, -0.15718518197536469, 0.04306801036000252, 0.31923922896385193]",1,{},1.0,True
"[-0.06987300515174866, 0.037297770380973816, 0.04945279657840729, 0.04044339433312416]",1,{},1.0,True
"[-0.06912705302238464, 0.23167698085308075, 0.050261661410331726, -0.23623576760292053]",0,{},1.0,True
"[-0.06449350714683533, 0.03587431088089943, 0.04553694650530815, 0.07186803966760635]",1,{},1.0,True
"[-0.06377602368593216, 0.23031485080718994, 0.0469743087887764, -0.20610718429088593]",1,{},1.0,True
"[-0.05916972830891609, 0.4247346818447113, 0.042852163314819336, -0.4836098849773407]",0,{},1.0,True
"[-0.050675034523010254, 0.22903497517108917, 0.03317996859550476, -0.1777351200580597]",0,{},1.0,True
"[-0.04609433189034462, 0.033454298973083496, 0.029625264927744865, 0.12522754073143005]",0,{},1.0,True
"[-0.04542524740099907, -0.16207925975322723, 0.032129816710948944, 0.4271077513694763]",1,{},1.0,True
"[-0.048666831105947495, 0.03257323056459427, 0.04067197069525719, 0.14472423493862152]",0,{},1.0,True
"[-0.04801536723971367, -0.16310687363147736, 0.04356645420193672, 0.44995591044425964]",1,{},1.0,True
"[-0.05127750709652901, 0.03137267753481865, 0.052565574645996094, 0.17131789028644562]",1,{},1.0,True
"[-0.05065005272626877, 0.2257044017314911, 0.05599193274974823, -0.1043298989534378]",0,{},1.0,True
"[-0.04613596573472023, 0.02982660010457039, 0.05390533432364464, 0.20547936856746674]",1,{},1.0,True
"[-0.045539431273937225, 0.22413791716098785, 0.058014921844005585, -0.06972373276948929]",1,{},1.0,True
"[-0.04105667397379875, 0.4183821976184845, 0.05662044510245323, -0.3435531556606293]",0,{},1.0,True
"[-0.03268903121352196, 0.22250238060951233, 0.049749381840229034, -0.033566754311323166]",0,{},1.0,True
"[-0.02823898196220398, 0.0267036110162735, 0.04907804727554321, 0.27438831329345703]",0,{},1.0,True
"[-0.027704909443855286, -0.16908298432826996, 0.05456581339240074, 0.5821377635002136]",1,{},1.0,True
"[-0.031086569651961327, 0.025233708322048187, 0.06620857119560242, 0.3071309030056]",1,{},1.0,True
"[-0.030581895262002945, 0.2193528264760971, 0.07235118746757507, 0.03604130819439888]",1,{},1.0,True
"[-0.02619483880698681, 0.4133666753768921, 0.07307201623916626, -0.2329654097557068]",0,{},1.0,True
"[-0.01792750507593155, 0.21728083491325378, 0.06841270625591278, 0.08184251189231873]",1,{},1.0,True
"[-0.013581888750195503, 0.4113588035106659, 0.07004955410957336, -0.18849578499794006]",0,{},1.0,True
"[-0.005354713182896376, 0.21530820429325104, 0.06627964228391647, 0.12543660402297974]",0,{},1.0,True
