scores,steps,milliseconds,stepsPerSecond
-268.22889384408876,439,657.1931838989258,667.992320607386
231.97044094517946,363,844.4046974182129,429.88865541591724
-143.6124452591651,319,720.8898067474365,442.50868442610886
-206.62352864373594,648,1420.588731765747,456.1489089066308
-189.2266031240087,364,831.744909286499,437.63417838319253
-96.1679009538484,449,1067.7886009216309,420.495217510712
-216.74376451194672,294,638.047456741333,460.7807724860014
-128.53267477654427,616,1317.1179294586182,467.6878100453751
-151.193491372691,645,1403.8517475128174,459.450224101467
-248.6665463427781,226,499.2542266845703,452.67518614877383
-265.5908148862634,267,613.3425235748291,435.31956408925794
238.9134750827293,397,794.9461936950684,499.40486934677284
-319.14944001626134,332,774.7070789337158,428.5490723241552
-260.1306712742679,578,1343.2807922363281,430.289782553751
-108.18054540671675,518,1171.0705757141113,442.33030078834224
-272.7357085836517,230,524.1067409515381,438.8419038122372
264.1217419445905,445,955.9719562530518,465.4948265890404
245.30183486429837,606,1397.695541381836,433.57081857818355
-134.788687881809,153,374.1803169250488,408.8937688046458
-127.02793784640951,1000,2341.770648956299,427.02730109188485
-177.2076931499035,682,1569.9374675750732,434.4122069100101
-143.4325047544507,222,469.7561264038086,472.58564076536567
-28.385645089518192,336,746.9315528869629,449.84041536513945
-101.87738479408084,316,719.7797298431396,439.0231995958893
224.47569782330996,429,983.5793972015381,436.1620436749518
156.37904640292007,677,1551.3818264007568,436.38515578763503
-230.8967343928195,557,1386.7475986480713,401.65924970269623
-157.35278630663043,285,671.3395118713379,424.52439482605666
233.0274412809562,345,791.8803691864014,435.6718684091917
-257.3297826072247,421,969.376802444458,434.29964379008527
250.41031966251234,373,781.7842960357666,477.11370245141796
261.26166079797247,336,825.3540992736816,407.0979962366247
-43.461994151574224,354,793.8663959503174,445.9188621735721
-292.6034965987386,966,2140.300512313843,451.3384893580545
250.92069711058943,367,837.4073505401611,438.25743798794025
269.60469250709116,341,718.3840274810791,474.67647797748583
234.29074925481555,356,844.1331386566162,421.7344204334297
-260.27586224917275,428,957.4549198150635,447.01843516838375
-32.832512325501966,334,719.829797744751,463.9985744497273
-131.98704006373092,559,1159.7039699554443,482.0195623038841
219.9730283558949,357,837.3925685882568,426.32334390291885
248.4314816856797,324,765.3155326843262,423.35479441215267
270.9487311591223,331,808.971643447876,409.1614368450075
252.11456707099146,352,811.0356330871582,434.0129898610413
-246.87573737834427,290,688.9221668243408,420.94740736357124
218.84630809596226,357,795.9513664245605,448.5198657345808
-232.56645579311166,255,567.7456855773926,449.14476054655904
223.92934689262836,414,913.982629776001,452.96265652385887
-204.11595867971397,748,1635.6968879699707,457.297440315074
-97.25736993582748,1000,2233.72745513916,447.6821904567137
275.38610647817643,343,807.7292442321777,424.6472471428884
-231.088534605459,256,561.2945556640625,456.08851434008426
163.90892851817466,497,1156.5570831298828,429.7237094904258
249.17894456300675,503,1145.8368301391602,438.9804785197133
-217.9284819424547,242,579.3206691741943,417.73065053067126
217.2954887279579,500,1177.156925201416,424.75220533103357
-132.33349283614987,522,1225.9485721588135,425.7927386634114
-201.73235612814483,304,689.8617744445801,440.6679877932877
251.56766872911354,381,900.2838134765625,423.19987796817003
180.2920722314685,426,938.4200572967529,453.95449158146846
-237.524193088989,238,526.2529850006104,452.25396678695125
276.52217030289046,329,757.5793266296387,434.27795405092905
-143.50154104521658,248,573.5263824462891,432.41254036508997
-143.1109742234638,319,766.3297653198242,416.26988071756136
257.23138025897424,378,928.9746284484863,406.90024078624333
269.83248095252833,368,893.0895328521729,412.0527522305119
-179.2048230908383,255,623.0762004852295,409.25973388393766
199.76314020317065,377,881.3772201538086,427.73966853172124
205.46247874843766,421,938.5449886322021,448.5666697912356
249.68933689614835,367,820.5149173736572,447.28010695370523
-157.03824175188223,191,436.72776222229004,437.34338991433964
252.72065739711084,372,862.3347282409668,431.387009959374
237.43397740095514,394,903.0437469482422,436.30222935653865
245.4458067782398,383,896.2376117706299,427.3420295800077
-169.30956667295214,153,348.4516143798828,439.0853527032279
-229.74032554999374,267,621.7930316925049,429.40333260608077
266.713940761036,330,776.8657207489014,424.78383482010094
274.2525440788161,370,871.680736541748,424.4673359054773
241.78023305692656,389,941.5175914764404,413.16275290192914
229.94070722422887,362,813.8556480407715,444.7963233669971
201.12856006844538,508,1189.7401809692383,426.98398198684924
284.3546767998479,386,888.7319564819336,434.3266799226958
-226.11680718058017,248,537.8291606903076,461.1129669534657
-171.92098730093105,782,1805.7117462158203,433.0702293091993
-332.3361142577116,654,1536.6158485412598,425.61060438160604
-222.90761607573657,941,2121.760129928589,443.49970890991847
224.90104348801373,357,820.6503391265869,435.0208401545936
237.57448304669418,318,810.7390403747559,392.2347193901107
250.26768175331182,358,813.2474422454834,440.2104223181014
-85.9558123252201,479,1115.8864498138428,429.25514516276183
142.28159218449915,736,1782.8865051269531,412.8137140998731
272.9162663589208,345,831.6488265991211,414.83855801350154
265.58731861727085,352,861.3715171813965,408.6506147217684
-170.29607756315426,595,1481.5850257873535,401.5969314240344
-163.39546338749028,581,1235.067367553711,470.4196833819539
-39.79857171008669,537,1224.9269485473633,438.3934900255289
265.13727035868226,363,774.3494510650635,468.7805996384693
-86.6209493966576,457,1026.5693664550781,445.1720603918858
-196.00983947300284,289,667.2191619873047,433.14103740548575
-21.617748574161055,336,820.1141357421875,409.699071576088
