scores,milliseconds,steps,stepsPerSecond
262.1378531568774,456.2666416168213,657,1439.9474782374234
267.1042760315446,229.62474822998047,354,1541.6456750796374
261.2906266933321,216.2032127380371,345,1595.720968392915
249.87550783164846,235.64529418945312,361,1531.9635439431468
253.84962021838396,256.6874027252197,380,1480.399879252293
259.46378445461687,237.09559440612793,346,1459.3269894645387
226.47984616915178,228.73854637145996,347,1517.015848463465
260.7951163433196,231.0941219329834,392,1696.2785410599013
252.1923500516865,225.62623023986816,351,1555.670187933576
204.699322271008,426.20348930358887,673,1579.057930988959
261.0165656516324,253.61895561218262,431,1699.3997903652628
144.9766283467722,322.15309143066406,601,1865.572660907869
220.8683582829077,214.10846710205078,339,1583.3096401480564
200.25990205840208,360.6150150299072,527,1461.39228272648
237.4054836391963,251.64222717285156,374,1486.2370445604965
264.4889604303901,277.6179313659668,406,1462.4415577277498
10.234333694097586,686.3820552825928,1000,1456.9145453377078
247.14836311878906,216.08209609985352,348,1610.4990014498287
250.04241781809463,224.62964057922363,340,1513.6025643066766
271.19618269846274,222.0909595489502,375,1688.497365050772
247.34800204223916,263.2112503051758,385,1462.7034351822665
247.68573325546691,168.59769821166992,359,2129.329188998091
226.25400258284833,220.09563446044922,354,1608.3917378361866
251.66566128394902,137.07947731018066,338,2465.722853868055
24.724359296262264,185.66298484802246,291,1567.3560361975378
266.56311338052234,598.4287261962891,887,1482.2149425177452
266.92428075429325,240.10062217712402,390,1624.3189895288738
251.3798955444226,260.72239875793457,384,1472.8308800062914
234.28361378512193,215.09122848510742,334,1552.8294777633187
255.35083256629008,271.6550827026367,421,1549.7593338271588
257.9841407948636,234.6193790435791,371,1581.2845533577558
221.16503650957995,161.5622043609619,347,2147.7795587929304
260.6748890027147,220.62301635742188,394,1785.8517506700096
237.0077196527934,245.7592487335205,367,1493.3313878980082
269.2844553099136,194.0922737121582,341,1756.8963126564645
247.84746876347384,198.1792449951172,340,1715.618605815039
234.3554883414341,253.16119194030762,381,1504.9700038141518
274.49594731818314,276.092529296875,456,1651.6202055930144
262.9553650932696,235.15748977661133,348,1479.8593076094826
239.7227232670893,252.08353996276855,347,1376.5277972978724
241.04221800094876,224.8542308807373,378,1681.0891150208831
246.15321033286455,211.1520767211914,363,1719.1400891562673
219.77549363535348,289.1075611114502,453,1566.890877078686
268.8413174168659,246.6270923614502,387,1569.1706709692014
270.93315756719335,267.6393985748291,401,1498.2846402110888
247.6921610752616,503.2796859741211,721,1432.6030239119848
248.91346618877506,223.09279441833496,363,1627.125613565611
255.92335927250122,207.95059204101562,353,1697.5186102397593
272.73464071574915,309.6959590911865,401,1294.8183152816987
251.09020633664392,184.0507984161377,354,1923.3820393411618
227.3081967513121,230.08990287780762,351,1525.4906695597301
222.4106756425045,220.10469436645508,333,1512.9163917130459
259.33482716299926,218.68467330932617,362,1655.3514909019548
228.90082265355545,212.09120750427246,335,1579.5091363853526
225.32418499071233,309.1692924499512,512,1656.0506250240987
236.86441264113154,235.08930206298828,359,1527.0792709393977
214.52102562341418,221.10581398010254,350,1582.9524954576577
261.1185555548096,165.8627986907959,376,2266.9338933617373
232.34021628054634,226.10807418823242,324,1432.9430789378785
249.31742669891065,170.0763702392578,403,2369.5237582567934
262.23438860895004,526.3006687164307,773,1468.74219613901
269.7013150595801,223.12474250793457,345,1546.2202717734515
254.66017088567372,280.1024913787842,409,1460.1798005677392
217.01229381817004,247.62248992919922,344,1389.2114569171697
239.04862443412827,239.61377143859863,378,1577.5387104445415
267.9175618058208,418.22099685668945,783,1872.2158999307926
254.07039295517194,229.09188270568848,364,1588.8821362895094
239.40123624548966,244.0950870513916,378,1548.5768458765258
208.83201046781406,489.2609119415283,745,1522.7049245434819
162.01804080116563,516.7567729949951,739,1430.0731768196047
276.07044274990665,255.171537399292,369,1446.086047687166
170.4888820089982,356.65225982666016,575,1612.2146549119332
207.5606227585508,332.97252655029297,499,1498.6221390990042
262.1978893279428,244.09890174865723,387,1585.4229463043
255.23398311394965,292.16480255126953,415,1420.4311962840738
230.04767130546537,240.64040184020996,357,1483.541405640833
250.9372209845594,242.09094047546387,384,1586.1807932416982
250.71732991342657,203.60231399536133,359,1763.24125671862
191.82248403620906,312.640905380249,478,1528.9106184574064
238.76586262223083,189.14556503295898,376,1987.8869479941613
-3.285919738933444,210.68406105041504,319,1514.115488421622
249.71162202420146,276.1666774749756,402,1455.6426708520132
280.1427561182842,223.62875938415527,327,1462.2448423025544
242.71355529963844,232.6340675354004,355,1526.0017750666675
240.97518955065036,232.09285736083984,360,1551.1033131032557
232.35095274214154,253.72600555419922,352,1387.323302675051
250.81237058571344,270.14827728271484,403,1491.7733477835711
264.27205828802073,237.1070384979248,386,1627.9567339936993
254.70814646443995,236.62304878234863,383,1618.6081701292433
235.95684364597548,236.07659339904785,339,1435.9746348380138
262.8752120305073,254.12988662719727,410,1613.3482190603604
23.61066640773788,195.6324577331543,315,1610.1622586046783
229.4747857447769,244.3385124206543,366,1497.9218641140483
213.87162639095826,210.1767063140869,351,1670.02331588291
237.77591345909443,417.2489643096924,673,1612.9458849908203
231.604694392937,205.60550689697266,348,1692.5616694419577
248.126051077593,235.09716987609863,344,1463.2247601334186
251.862500962372,231.20427131652832,353,1526.7884022641097
256.9045577920937,188.87019157409668,403,2133.7406217534167
216.16126384540115,157.090425491333,340,2164.3585147635777
