scores,milliseconds,steps,stepsPerSecond
264.80935523085907,206.78067207336426,385,1861.8761421928489
247.1695845632006,176.64527893066406,307,1737.946249446622
255.808182244725,206.21490478515625,367,1779.69677013578
220.55855588211557,213.37509155273438,327,1532.5125234647358
202.55494692377482,197.72052764892578,339,1714.54124683468
219.81921221433123,216.74466133117676,379,1748.6013158169735
274.3781432697673,245.38469314575195,390,1589.3411891358294
275.8154039719205,205.10029792785645,361,1760.1144593509118
246.81634861888884,255.27453422546387,365,1429.833183742583
-5.470745296857785,194.45514678955078,273,1403.92272720585
226.53070344691847,216.15195274353027,339,1568.3411400970872
244.8133266976073,197.68166542053223,333,1684.5264799423978
281.8085538154521,339.8149013519287,519,1527.302063373903
229.94957034663764,187.4544620513916,326,1739.089037585168
274.1124944866725,218.64581108093262,353,1614.4832514963466
274.34355767956765,248.4719753265381,362,1456.904745592597
31.552720848470926,189.41068649291992,257,1356.8400218517054
-34.67116037849337,183.546781539917,290,1579.9786711974136
237.03227646331493,216.25995635986328,330,1525.941304875091
250.62592417715223,207.2317600250244,350,1688.9303066177476
281.5738686279708,228.0714511871338,367,1609.144845133969
17.671235661953688,186.78665161132812,293,1568.6345757173492
156.0369858010381,305.09257316589355,493,1615.9029860485398
286.91958514801763,208.3144187927246,351,1684.9529765351926
233.3189240469041,227.40840911865234,368,1618.2339141557106
169.44814554514596,359.97700691223145,528,1466.7603481928372
197.93997029065812,216.27140045166016,362,1673.82279508063
253.67795994769756,214.25580978393555,341,1591.5554418051886
-3.0396624635905027,159.9593162536621,227,1419.1108421595486
233.050295005681,213.75322341918945,335,1567.2278276853613
210.54071009234357,210.2944850921631,346,1645.3118104755006
254.74457714598776,214.41912651062012,353,1646.3083575826245
271.42045145811244,235.28623580932617,379,1610.8039584055318
257.0587723105947,214.38074111938477,350,1632.6093387516153
6.3126156808575615,179.16536331176758,274,1529.313450631692
252.60618843882173,185.6386661529541,339,1826.1281823727725
287.0192245503846,245.2535629272461,385,1569.8039017447807
242.55495114917267,215.74735641479492,342,1585.1874418450454
282.71792104660875,246.18911743164062,384,1559.7765003021523
277.50345403868465,232.6209545135498,346,1487.3982471765933
257.5225801813005,200.70600509643555,296,1474.793939811504
238.95576788129046,168.07222366333008,314,1868.2444556036917
254.95836972940202,197.18527793884277,313,1587.3395989384019
225.62863220236335,201.34830474853516,360,1787.9465161110031
242.3902861060235,217.4520492553711,343,1577.359243909392
233.75641460455807,279.8783779144287,379,1354.159627564646
225.10965537783403,240.62395095825195,327,1358.966963586822
203.57759756112796,228.52158546447754,316,1382.8015386718052
254.97328650196164,259.4103813171387,356,1372.342919325102
131.80485468965625,363.44099044799805,429,1180.3841924137125
1.6983909376431257,182.21330642700195,281,1542.148625202484
227.86466338836277,243.3323860168457,348,1430.1425539628262
269.03322247581684,237.86067962646484,376,1580.7572760259006
270.4736404951833,228.87563705444336,376,1642.813559533904
243.33139930362083,222.31006622314453,342,1538.391876761515
253.37461300565528,232.79881477355957,349,1499.148525904085
278.7710644268592,210.45470237731934,345,1639.3076329625437
209.31291899787766,213.5763168334961,322,1507.6578001437815
266.98004814474325,197.60847091674805,335,1695.2714549425093
224.1585008207116,216.65525436401367,358,1652.3947275172275
224.01950657419565,217.41914749145508,343,1577.59794368378
4.718716874718666,209.7170352935791,291,1387.5839871216676
215.3365977560605,209.6877098083496,327,1559.461926971645
249.21293779372232,234.64226722717285,352,1500.155978544161
254.0004725458553,208.12153816223145,333,1600.0266139702724
264.14703981074877,239.8662567138672,361,1505.0053515056577
228.5904093496843,204.19907569885254,314,1537.7150896759151
228.13278799229096,232.58471488952637,339,1457.5334417870883
235.91679660404037,248.1696605682373,338,1361.971480422212
244.9859965607629,318.68863105773926,485,1521.8616314936219
238.29819063821174,218.74642372131348,344,1572.5971384943034
275.77197152491766,218.16611289978027,362,1659.2861062996212
256.5430898145495,197.7236270904541,336,1699.341676785484
246.28662142365326,195.2815055847168,320,1638.6600412663142
35.30006698239595,183.1502914428711,296,1616.1590444005894
271.3074012763607,238.35420608520508,384,1611.0477188840987
267.2768187805739,196.18487358093262,323,1646.4062397081395
239.00138047811487,323.19068908691406,478,1479.0030039245773
251.42843067586233,222.3196029663086,356,1601.298289714695
213.86156659006713,226.28235816955566,342,1511.3860522159484
286.3714374461605,215.2998447418213,370,1718.5335198159978
216.64910619279283,267.69447326660156,347,1296.2538813956637
256.8368681090464,247.95293807983398,359,1447.855398609602
227.6769785522496,217.72336959838867,329,1511.0918070341809
259.0937485061902,264.45984840393066,368,1391.515582501296
220.84367079693942,221.31013870239258,340,1536.305575485703
274.2832272510341,231.84657096862793,394,1699.3997295449053
153.0613254300988,344.2399501800537,470,1365.3267139800823
250.64538008577824,217.27561950683594,341,1569.4351753500416
209.3808048378067,237.8544807434082,338,1421.0369253654146
244.3091069066666,248.91114234924316,386,1550.7542023105166
9.608171246014535,194.63467597961426,284,1459.1438990539677
293.3398259440688,218.21022033691406,378,1732.2744984921987
-13.182870049029589,178.17234992980957,267,1498.5490178761395
230.51075239369732,203.29976081848145,341,1677.326124866747
277.36166986455135,255.98669052124023,380,1484.4521768934308
225.03099856050676,248.3677864074707,368,1481.6736313632132
252.73037550210825,217.08273887634277,377,1736.6650243654387
272.12267874724984,248.40617179870605,358,1441.1880244670508
4.5621053352952,168.95174980163574,284,1680.9532918921589
