,curr_heading,track_error_deg,curr_alt_ft,altitude_error_ft,new_episode,action,altitude_out_of_bounds,altitude_reward,heading_reward,reward,heading_target,altitude_target,remaining fuel pounds,on_target
0,269.86431136707955,0.13568863292044853,3000.170881435275,0.17088143527507782,1,7,0,0.4995901420557609,0.4972879312462139,0.9968780733019749,270,3000,199.99514615277144,
1,269.5047903612596,0.49520963874039126,3003.3472902812064,3.3472902812063694,0,3,0,0.4919715473408881,0.49010202580057716,0.9820735731414653,270,3000,199.9905403585773,
2,270.10898773814307,-0.10898773814307106,3008.1081200279295,8.108120027929544,0,2,0,0.48055273002042465,0.49782161384633483,0.9783743438667595,270,3000,199.98616980587062,
3,271.6325080461491,-1.6325080461490984,3011.2440648823977,11.244064882397652,0,3,0,0.47303118791006765,0.4673703392320181,0.9404015271420858,270,3000,199.98200048160103,
4,272.87523853682836,-2.8752385368283626,3012.3695867955685,12.369586795568466,0,3,0,0.47033163136206835,0.44253133495724906,0.9128629663193174,270,3000,199.97799836326905,
5,272.6943294223681,-2.694329422368128,3011.785578519106,11.785578519105911,0,5,0,0.47173237118628814,0.44614724548742873,0.9178796166737169,270,3000,199.97413912115465,
6,271.9572386670586,-1.9572386670586184,3011.2545882202685,11.254588220268488,0,3,0,0.4730059477567453,0.4608798046057121,0.9338857523624574,270,3000,199.97040123192855,
7,270.9349441379425,-0.934944137942523,3010.705790564418,10.705790564417839,0,5,0,0.47432223515021293,0.48131285776505656,0.9556350929152695,270,3000,199.96676511901944,
8,269.58590916047217,0.4140908395278302,3010.218718443066,10.218718443065882,0,2,0,0.4754904742747976,0.49172338313872666,0.9672138574135243,270,3000,199.96321183247915,
9,269.40350041874444,0.5964995812555571,3009.442033536732,9.442033536732197,0,3,0,0.4773533476672121,0.48807749889470725,0.9654308465619194,270,3000,199.95972645251103,
10,269.2102956789409,0.789704321059105,3007.161300510168,7.161300510168076,0,5,0,0.48282367010523,0.4842158302594885,0.9670395003647185,270,3000,199.95629592921264,
11,269.00850157293803,0.9914984270619698,3004.6901367269456,4.690136726945639,0,3,0,0.48875073940002783,0.48018248216090875,0.9689332215609365,270,3000,199.95290800353908,
12,269.04894749369896,0.9510525063010391,3002.139885723591,2.139885723590851,0,5,0,0.49486749884698783,0.4809908926780826,0.9758583915250705,270,3000,199.94955407635973,
13,269.0339505970421,0.9660494029578786,2999.7301491051912,-0.2698508948087692,0,2,0,0.4993527644894871,0.4806911430678804,0.9800439075573675,270,3000,199.94622632823,
14,269.49122241454586,0.5087775854541405,2997.136354967952,-2.8636450320482254,0,5,0,0.4931315671361451,0.4898308372452547,0.9829624043813998,270,3000,199.94291933282742,
15,269.742242526301,0.25775747369897317,2994.644434735179,-5.3555652648210526,0,3,0,0.4871547136402213,0.49484808730526686,0.9820028009454882,270,3000,199.93962780574526,
16,269.9115974987756,0.08840250122437965,2991.9741512835026,-8.025848716497421,0,5,0,0.48075005719361424,0.4982330600864131,0.9789831172800274,270,3000,199.9363484195133,
17,269.714597330685,0.28540266931497627,2989.4289566762745,-10.571043323725462,0,2,0,0.47464542547789934,0.49429553054639364,0.968940956024293,270,3000,199.9330776743604,
18,269.86684849041933,0.1331515095806708,2986.715132240206,-13.284867759793997,0,5,0,0.4681363362804531,0.49733864185318377,0.9654749781336369,270,3000,199.92981371169975,
19,269.9552481067977,0.044751893202317206,2984.138784736395,-15.861215263605118,0,2,0,0.46195698455709017,0.49910552410607645,0.9610625086631666,270,3000,199.92655418950818,
20,270.3148011048028,-0.3148011048028252,2981.4044488817453,-18.59555111825466,0,5,0,0.4553986988636085,0.4937079310063235,0.949106629869932,270,3000,199.92329817474265,
21,270.18639162229545,-0.1863916222954458,2978.8496534749866,-21.150346525013447,0,5,0,0.4492710396964188,0.4962745081594908,0.9455455478559096,270,3000,199.92004388510117,
22,269.59630701706186,0.40369298293813927,2977.758343912661,-22.241656087338924,0,2,0,0.44665354123601975,0.4919312096998491,0.9385847509358689,270,3000,199.91679108758484,
23,269.678205356951,0.32179464304897465,2976.6793804802,-23.320619519799948,0,5,0,0.4440656548829711,0.4935681480624794,0.9376338029454505,270,3000,199.9135399478213,
24,269.8525003276682,0.14749967233177586,2975.6120049878955,-24.38799501210451,0,2,0,0.4415055621244863,0.49705185877464597,0.9385574208991323,270,3000,199.9102894047748,
