obs,acts,infos,rews,terminal
"[-0.005245494656264782, 1.412442922592163, -0.5313282012939453, 0.0676662027835846, 0.006084995344281197, 0.12035366147756577, 0.0, 0.0]",3,{},0.89400136,True
"[-0.010405826382339, 1.4134008884429932, -0.5198638439178467, 0.04255225509405136, 0.00987571757286787, 0.07582182437181473, 0.0, 0.0]",0,{},-0.27111274,True
"[-0.015566349029541016, 1.4137593507766724, -0.5198761224746704, 0.015898672863841057, 0.013664220459759235, 0.07577688246965408, 0.0, 0.0]",0,{},-0.3492133,True
"[-0.020726870745420456, 1.413517713546753, -0.5198874473571777, -0.010773653164505959, 0.017451833933591843, 0.07575930655002594, 0.0, 0.0]",0,{},-0.4277175,True
"[-0.025887584313750267, 1.412676453590393, -0.5198987126350403, -0.03744306415319443, 0.02123885601758957, 0.07574740052223206, 0.0, 0.0]",3,{},0.402374,True
"[-0.030985545367002487, 1.411231279373169, -0.5120380520820618, -0.06425792723894119, 0.02344825677573681, 0.044192127883434296, 0.0, 0.0]",3,{},0.5605084,True
"[-0.03601503372192383, 1.4091839790344238, -0.503433883190155, -0.0909992903470993, 0.02393261156976223, 0.009687881916761398, 0.0, 0.0]",0,{},-0.33865243,True
"[-0.04104442521929741, 1.40653657913208, -0.5034345388412476, -0.11766766756772995, 0.02441728487610817, 0.009694560430943966, 0.0, 0.0]",0,{},-0.41093835,True
"[-0.04607391357421875, 1.4032893180847168, -0.5034357309341431, -0.14433608949184418, 0.024901511147618294, 0.009685441851615906, 0.0, 0.0]",3,{},0.50246274,True
"[-0.05103302001953125, 1.3994392156600952, -0.4946001172065735, -0.17108966410160065, 0.02361535280942917, -0.02572554722428322, 0.0, 0.0]",3,{},0.96207017,True
"[-0.05589466169476509, 1.3949848413467407, -0.48240429162979126, -0.19791977107524872, 0.019888274371623993, -0.0745486244559288, 0.0, 0.0]",0,{},-0.2111854,True
"[-0.06075620651245117, 1.3899306058883667, -0.48239198327064514, -0.22458896040916443, 0.01616242527961731, -0.07452378422021866, 0.0, 0.0]",3,{},0.97398484,True
"[-0.06552334129810333, 1.3842672109603882, -0.4705416262149811, -0.2516511380672455, 0.010066229850053787, -0.12193502485752106, 0.0, 0.0]",3,{},0.68256336,True
"[-0.07023067772388458, 1.378011703491211, -0.46305426955223083, -0.27799227833747864, 0.0024740349035710096, -0.1518581360578537, 0.0, 0.0]",3,{},-0.42951387,True
"[-0.0748559981584549, 1.3711462020874023, -0.4527793824672699, -0.3051370680332184, -0.007171295583248138, -0.19292423129081726, 0.0, 0.0]",3,{},-1.065151,True
"[-0.07938337326049805, 1.3636842966079712, -0.44050225615501404, -0.331745982170105, -0.019269168376922607, -0.2419794350862503, 0.0, 0.0]",0,{},-2.0743537,True
"[-0.083910271525383, 1.3556241989135742, -0.4404663145542145, -0.3584258258342743, -0.03136448562145233, -0.24192841351032257, 0.0, 0.0]",1,{},-2.5411408,True
"[-0.08849897235631943, 1.3469700813293457, -0.44822826981544495, -0.38488319516181946, -0.04189411550760269, -0.21061167120933533, 0.0, 0.0]",2,{},0.89562154,True
"[-0.09316129982471466, 1.3390557765960693, -0.45506390929222107, -0.35209786891937256, -0.05294398218393326, -0.2210172712802887, 0.0, 0.0]",2,{},0.50252414,True
"[-0.09773769229650497, 1.331321358680725, -0.44677215814590454, -0.34415894746780396, -0.0637219250202179, -0.2155780792236328, 0.0, 0.0]",1,{},-2.5764897,True
"[-0.10239791870117188, 1.3229871988296509, -0.4572606086730957, -0.3708025813102722, -0.07239484041929245, -0.17347362637519836, 0.0, 0.0]",2,{},1.2108874,True
"[-0.10685062408447266, 1.3146413564682007, -0.43735986948013306, -0.3713229298591614, -0.08023710548877716, -0.15685975551605225, 0.0, 0.0]",2,{},1.477515,True
"[-0.11120748519897461, 1.3066691160202026, -0.42798489332199097, -0.3547528088092804, -0.0878777876496315, -0.15282724797725677, 0.0, 0.0]",2,{},1.6426901,True
"[-0.11539898067712784, 1.2989394664764404, -0.41198867559432983, -0.3439684212207794, -0.0949825868010521, -0.14210857450962067, 0.0, 0.0]",2,{},2.7018056,True
"[-0.11949987709522247, 1.2920613288879395, -0.4029272198677063, -0.306164413690567, -0.10209588706493378, -0.14227870106697083, 0.0, 0.0]",1,{},-2.3612323,True
"[-0.12369680404663086, 1.2845886945724487, -0.4149853587150574, -0.3324430286884308, -0.10677894949913025, -0.09366089105606079, 0.0, 0.0]",2,{},3.2568176,True
"[-0.12770023941993713, 1.2777923345565796, -0.3961005210876465, -0.3023640811443329, -0.11099166423082352, -0.08425432443618774, 0.0, 0.0]",0,{},-1.3878441,True
"[-0.13170365989208221, 1.2703964710235596, -0.3961007595062256, -0.3290322422981262, -0.11520437151193619, -0.08425422012805939, 0.0, 0.0]",1,{},-1.9346312,True
"[-0.13578815758228302, 1.26241934299469, -0.4062980115413666, -0.35470327734947205, -0.11734514683485031, -0.04281524196267128, 0.0, 0.0]",1,{},-1.6992112,True
"[-0.13995417952537537, 1.2538630962371826, -0.4165523648262024, -0.38028857111930847, -0.11739853024482727, -0.0010677854297682643, 0.0, 0.0]",3,{},-0.624972,True
"[-0.14405497908592224, 1.2446964979171753, -0.4083508849143982, -0.40753546357154846, -0.11910874396562576, -0.03420443460345268, 0.0, 0.0]",2,{},1.2379853,True
"[-0.1482311189174652, 1.2360042333602905, -0.4151534140110016, -0.386522501707077, -0.12155988812446594, -0.0490228570997715, 0.0, 0.0]",2,{},1.9708248,True
"[-0.1522459089756012, 1.2274855375289917, -0.39946678280830383, -0.37877407670021057, -0.12355957180261612, -0.039993878453969955, 0.0, 0.0]",0,{},-1.2132785,True
"[-0.156260684132576, 1.2183668613433838, -0.3994668126106262, -0.4054410755634308, -0.1255592554807663, -0.03999381512403488, 0.0, 0.0]",2,{},0.20703164,True
"[-0.16027489304542542, 1.2092021703720093, -0.39919599890708923, -0.4075115919113159, -0.12777046859264374, -0.04422428831458092, 0.0, 0.0]",2,{},2.8349154,True
"[-0.1641862839460373, 1.2006198167800903, -0.38892561197280884, -0.3816281259059906, -0.12997546792030334, -0.04410027712583542, 0.0, 0.0]",2,{},3.4176126,True
"[-0.16788005828857422, 1.1925573348999023, -0.36771008372306824, -0.3584803640842438, -0.13163021206855774, -0.03309464827179909, 0.0, 0.0]",2,{},1.0669111,True
"[-0.17142657935619354, 1.1844050884246826, -0.3534683585166931, -0.3624195456504822, -0.13281719386577606, -0.023739617317914963, 0.0, 0.0]",2,{},3.3325522,True
"[-0.17470617592334747, 1.1766108274459839, -0.3275949954986572, -0.34644615650177, -0.13317112624645233, -0.0070788078010082245, 0.0, 0.0]",1,{},-1.5572776,True
"[-0.17805138230323792, 1.1682376861572266, -0.3358606696128845, -0.3720230460166931, -0.1318296194076538, 0.026829931885004044, 0.0, 0.0]",0,{},-1.0401274,True
"[-0.181396484375, 1.1592645645141602, -0.3358606994152069, -0.39868980646133423, -0.13048812747001648, 0.026829918846488, 0.0, 0.0]",2,{},1.508454,True
"[-0.18459177017211914, 1.1502513885498047, -0.3213393986225128, -0.4004306197166443, -0.12868429720401764, 0.036076612770557404, 0.0, 0.0]",3,{},-0.7840982,True
"[-0.18771839141845703, 1.140622615814209, -0.31271088123321533, -0.4279361069202423, -0.12863485515117645, 0.0009886326733976603, 0.0, 0.0]",2,{},2.8959398,True
"[-0.19068002700805664, 1.1313663721084595, -0.2965788245201111, -0.41135647892951965, -0.12821337580680847, 0.008429602719843388, 0.0, 0.0]",2,{},2.3245552,True
"[-0.193610280752182, 1.122554063796997, -0.2931819558143616, -0.39164313673973083, -0.1280607283115387, 0.0030530355870723724, 0.0, 0.0]",2,{},-0.0051671434,True
"[-0.196607306599617, 1.1137101650238037, -0.29933446645736694, -0.3931007981300354, -0.12843894958496094, -0.007564419414848089, 0.0, 0.0]",2,{},3.9631507,True
"[-0.19947414100170135, 1.10565185546875, -0.2863505482673645, -0.3581676185131073, -0.12876740097999573, -0.006568907294422388, 0.0, 0.0]",2,{},3.1792152,True
"[-0.20212110877037048, 1.097999930381775, -0.2649763822555542, -0.3400588035583496, -0.1284862458705902, 0.005623240955173969, 0.0, 0.0]",2,{},0.5876148,True
"[-0.20472201704978943, 1.0903114080429077, -0.2603609561920166, -0.3416925072669983, -0.12821677327156067, 0.005389534868299961, 0.0, 0.0]",2,{},4.8708553,True
"[-0.20704945921897888, 1.0834206342697144, -0.2337201088666916, -0.30617234110832214, -0.12724460661411285, 0.019442971795797348, 0.0, 0.0]",3,{},-1.1134194,True
"[-0.20930834114551544, 1.075923204421997, -0.22512805461883545, -0.3332854211330414, -0.12800057232379913, -0.015119435265660286, 0.0, 0.0]",2,{},0.223421,True
"[-0.21159616112709045, 1.0684505701065063, -0.22763831913471222, -0.33220991492271423, -0.12913554906845093, -0.0226995088160038, 0.0, 0.0]",2,{},1.038822,True
