obs,acts,infos,rews,terminal
"[-0.004486656282097101, 1.4101375341415405, -0.45447301864624023, -0.03479114547371864, 0.005205781199038029, 0.10294477641582489, 0.0, 0.0]",3,{},0.281842,True
"[-0.008914375677704811, 1.4087861776351929, -0.4463997483253479, -0.06007937714457512, 0.008795922622084618, 0.0718102902173996, 0.0, 0.0]",0,{},-0.600792,True
"[-0.01334228552877903, 1.4068350791931152, -0.44641098380088806, -0.08674240112304688, 0.012383988127112389, 0.07176793366670609, 0.0, 0.0]",3,{},0.3320682,True
"[-0.01769866980612278, 1.4042904376983643, -0.43746209144592285, -0.11310403048992157, 0.014173153787851334, 0.03578663989901543, 0.0, 0.0]",0,{},-0.61129934,True
"[-0.02205524407327175, 1.4011460542678833, -0.4374660551548004, -0.13977256417274475, 0.015962829813361168, 0.03579689562320709, 0.0, 0.0]",0,{},-0.69315714,True
"[-0.026411820203065872, 1.3974015712738037, -0.43747106194496155, -0.16644105315208435, 0.017751842737197876, 0.03578336536884308, 0.0, 0.0]",0,{},-0.7672674,True
"[-0.030768489465117455, 1.393057107925415, -0.4374764859676361, -0.1931096613407135, 0.019540565088391304, 0.035777799785137177, 0.0, 0.0]",3,{},0.4563272,True
"[-0.03502960130572319, 1.3881163597106934, -0.42547765374183655, -0.21957875788211823, 0.01892121322453022, -0.01238822191953659, 0.0, 0.0]",3,{},0.08205547,True
"[-0.039231013506650925, 1.3825715780258179, -0.4179968237876892, -0.2464122772216797, 0.016805395483970642, -0.04232030361890793, 0.0, 0.0]",0,{},-0.5934322,True
"[-0.0434323325753212, 1.3764266967773438, -0.41798967123031616, -0.2730807960033417, 0.01469002477824688, -0.04231122136116028, 0.0, 0.0]",0,{},-0.63486207,True
"[-0.04763355106115341, 1.36968195438385, -0.41798335313796997, -0.29974937438964844, 0.012574663385748863, -0.042311426252126694, 0.0, 0.0]",3,{},0.4470723,True
