obs,acts,infos,rews,terminal
"[0.007115268614143133, 1.4196339845657349, 0.7206717133522034, 0.3872641921043396, -0.008237896487116814, -0.163242906332016, 0.0, 0.0]",1,{},0.44675314,True
"[0.014168739318847656, 1.4277793169021606, 0.7119277715682983, 0.3619634211063385, -0.014744816347956657, -0.13014928996562958, 0.0, 0.0]",1,{},0.6198095,True
"[0.02115640603005886, 1.4353363513946533, 0.703658938407898, 0.3358084559440613, -0.019583208486437798, -0.09677677601575851, 0.0, 0.0]",1,{},1.2146269,True
"[0.0280488021671772, 1.4422968626022339, 0.6917060613632202, 0.309326708316803, -0.02202059142291546, -0.04875185713171959, 0.0, 0.0]",1,{},1.220621,True
"[0.034864235669374466, 1.448651909828186, 0.6820462942123413, 0.28243154287338257, -0.022522499784827232, -0.010038877837359905, 0.0, 0.0]",1,{},1.5286142,True
"[0.04159421846270561, 1.454402208328247, 0.6713346242904663, 0.2555905878543854, -0.020878441631793976, 0.03288453072309494, 0.0, 0.0]",1,{},1.8401699,True
"[0.04822998121380806, 1.459564208984375, 0.6595124006271362, 0.22947297990322113, -0.01686178520321846, 0.08034033328294754, 0.0, 0.0]",1,{},1.640594,True
"[0.05480318143963814, 1.4641162157058716, 0.6516871452331543, 0.20237237215042114, -0.011283088475465775, 0.1115841269493103, 0.0, 0.0]",1,{},2.0997646,True
"[0.061290740966796875, 1.4680722951889038, 0.640922486782074, 0.17586152255535126, -0.0035499962978065014, 0.1546764373779297, 0.0, 0.0]",1,{},1.1405698,True
"[0.06768045574426651, 1.4714339971542358, 0.6286768913269043, 0.14940299093723297, 0.006631971336901188, 0.2036580741405487, 0.0, 0.0]",0,{},-0.7574481,True
"[0.07406987994909286, 1.4741970300674438, 0.6286457180976868, 0.12272746115922928, 0.016811715438961983, 0.2036134898662567, 0.0, 0.0]",1,{},-0.24248314,True
"[0.0803980827331543, 1.476370930671692, 0.6209861040115356, 0.09644533693790436, 0.02851720340549946, 0.2341310977935791, 0.0, 0.0]",1,{},-0.4413516,True
"[0.08666639029979706, 1.4779435396194458, 0.6134859323501587, 0.06958639621734619, 0.04171786829829216, 0.26403746008872986, 0.0, 0.0]",1,{},-0.61563593,True
"[0.09287233650684357, 1.4789113998413086, 0.6056831479072571, 0.04253530874848366, 0.05647699534893036, 0.2952093482017517, 0.0, 0.0]",1,{},-0.4753198,True
"[0.0989806205034256, 1.4792821407318115, 0.5934574007987976, 0.015729457139968872, 0.07367389649152756, 0.3439696133136749, 0.0, 0.0]",0,{},-1.7232711,True
"[0.10508804023265839, 1.479056715965271, 0.5934086441993713, -0.010963063687086105, 0.09086716175079346, 0.3438965380191803, 0.0, 0.0]",1,{},-0.8572335,True
"[0.11109819263219833, 1.478210687637329, 0.5812304615974426, -0.03892233595252037, 0.11052273213863373, 0.3931470811367035, 0.0, 0.0]",3,{},-3.0061638,True
"[0.1171964630484581, 1.476793646812439, 0.5923843383789062, -0.06436286121606827, 0.12788909673690796, 0.34735891222953796, 0.0, 0.0]",3,{},-2.7831142,True
"[0.12337837368249893, 1.4747908115386963, 0.6029268503189087, -0.0904015600681305, 0.14311836659908295, 0.3046129047870636, 0.0, 0.0]",3,{},-2.6657734,True
"[0.12965020537376404, 1.4722071886062622, 0.6142643094062805, -0.11611945182085037, 0.15603679418563843, 0.2583920955657959, 0.0, 0.0]",1,{},-0.8976781,True
"[0.13584622740745544, 1.4690121412277222, 0.6047928929328918, -0.1436227411031723, 0.17086975276470184, 0.29668599367141724, 0.0, 0.0]",3,{},-2.457977,True
"[0.1421065330505371, 1.465235710144043, 0.6129263043403625, -0.16939757764339447, 0.18402685225009918, 0.26316598057746887, 0.0, 0.0]",1,{},-1.0634277,True
"[0.14829063415527344, 1.46083664894104, 0.6034024953842163, -0.19744658470153809, 0.19914662837982178, 0.3024226129055023, 0.0, 0.0]",3,{},-2.6329641,True
"[0.15454988181591034, 1.455869197845459, 0.6129226088523865, -0.22258253395557404, 0.21226955950260162, 0.2624824345111847, 0.0, 0.0]",2,{},-1.2804691,True
"[0.16086292266845703, 1.4512155055999756, 0.6175064444541931, -0.20886601507663727, 0.2262328416109085, 0.27929073572158813, 0.0, 0.0]",3,{},-2.6324089,True
"[0.1672610342502594, 1.4459717273712158, 0.6287398338317871, -0.23479311168193817, 0.2374715954065323, 0.22478774189949036, 0.0, 0.0]",2,{},1.4259064,True
"[0.17342595756053925, 1.440879225730896, 0.6055716276168823, -0.22813278436660767, 0.24857895076274872, 0.22214698791503906, 0.0, 0.0]",2,{},0.8753095,True
"[0.1795186996459961, 1.4366620779037476, 0.5975985527038574, -0.18944188952445984, 0.2604808509349823, 0.23803822696208954, 0.0, 0.0]",3,{},-2.3446453,True
"[0.18569126725196838, 1.4318885803222656, 0.6077539920806885, -0.2138793021440506, 0.27020013332366943, 0.19438593089580536, 0.0, 0.0]",3,{},-2.0149534,True
"[0.19192543625831604, 1.4265291690826416, 0.6154693365097046, -0.2396833747625351, 0.27834346890449524, 0.16286683082580566, 0.0, 0.0]",3,{},-2.0694482,True
"[0.1982497274875641, 1.4206143617630005, 0.6268913149833679, -0.26395222544670105, 0.28403833508491516, 0.11389663070440292, 0.0, 0.0]",2,{},2.100214,True
"[0.20429030060768127, 1.4146106243133545, 0.5993143320083618, -0.26776090264320374, 0.2889152765274048, 0.09753861278295517, 0.0, 0.0]",2,{},2.7429645,True
"[0.21013478934764862, 1.4093526601791382, 0.5794152617454529, -0.2346976101398468, 0.2941049039363861, 0.10379210859537125, 0.0, 0.0]",2,{},2.3668938,True
"[0.2157890349626541, 1.4047482013702393, 0.5601305961608887, -0.20572075247764587, 0.29957258701324463, 0.10935364663600922, 0.0, 0.0]",3,{},-1.7275225,True
"[0.22151736915111542, 1.3995718955993652, 0.5694375038146973, -0.23075489699840546, 0.3030775487422943, 0.0700991302728653, 0.0, 0.0]",1,{},-0.29975832,True
"[0.22716006636619568, 1.3937515020370483, 0.5586277842521667, -0.2598763108253479, 0.30892547965049744, 0.11695832014083862, 0.0, 0.0]",2,{},0.74500865,True
"[0.23275108635425568, 1.3883306980133057, 0.5527814030647278, -0.24228481948375702, 0.315481960773468, 0.13112911581993103, 0.0, 0.0]",3,{},-1.943191,True
