obs,acts,infos,rews,terminal
"[0.007486820220947266, 1.4154298305511475, 0.7583093047142029, 0.2004113793373108, -0.008668485097587109, -0.17176829278469086, 0.0, 0.0]",1,{},0.84135556,True
"[0.014879131689667702, 1.4193549156188965, 0.7454107403755188, 0.17440177500247955, -0.014776055701076984, -0.12216174602508545, 0.0, 0.0]",1,{},0.6521671,True
"[0.022198867052793503, 1.4226871728897095, 0.7362866401672363, 0.1480455994606018, -0.01904505118727684, -0.08538775146007538, 0.0, 0.0]",1,{},0.8472331,True
"[0.029444122686982155, 1.425414800643921, 0.7269605398178101, 0.12119738757610321, -0.021442893892526627, -0.04796118289232254, 0.0, 0.0]",1,{},1.0530741,True
"[0.03661174699664116, 1.4275459051132202, 0.7172024250030518, 0.09470736980438232, -0.02188149280846119, -0.008773153647780418, 0.0, 0.0]",1,{},1.5116966,True
"[0.043682195246219635, 1.4290742874145508, 0.7050206065177917, 0.06795203685760498, -0.019878866150975227, 0.04005661606788635, 0.0, 0.0]",1,{},1.3968492,True
"[0.050676919519901276, 1.4300121068954468, 0.6955104470252991, 0.04173083230853081, -0.015968840569257736, 0.07820777595043182, 0.0, 0.0]",1,{},1.5080862,True
"[0.05759849399328232, 1.4303525686264038, 0.6863534450531006, 0.015181063674390316, -0.010225868783891201, 0.11486975848674774, 0.0, 0.0]",1,{},1.9699055,True
"[0.06442566215991974, 1.4300949573516846, 0.6745058298110962, -0.011417494155466557, -0.0021121217869222164, 0.16228997707366943, 0.0, 0.0]",1,{},0.44170514,True
"[0.07116241753101349, 1.4292446374893188, 0.6631872057914734, -0.03780486807227135, 0.008263874799013138, 0.2075389325618744, 0.0, 0.0]",1,{},-0.5374056,True
"[0.07783623039722443, 1.4277900457382202, 0.6553021669387817, -0.0647563561797142, 0.020212795585393906, 0.2390000820159912, 0.0, 0.0]",1,{},-0.47302753,True
"[0.08441944420337677, 1.425742745399475, 0.6439462900161743, -0.09125585854053497, 0.03442716971039772, 0.28431347012519836, 0.0, 0.0]",1,{},-0.89708686,True
"[0.09092426300048828, 1.423082947731018, 0.6341160535812378, -0.11867007613182068, 0.05060878023505211, 0.3236619532108307, 0.0, 0.0]",1,{},-1.0989606,True
"[0.09734468162059784, 1.4198232889175415, 0.6235880851745605, -0.14560295641422272, 0.06889019906520844, 0.3656620383262634, 0.0, 0.0]",3,{},-2.8095167,True
"[0.1038324385881424, 1.4159791469573975, 0.632070779800415, -0.17169710993766785, 0.08544592559337616, 0.3311450183391571, 0.0, 0.0]",3,{},-2.6391613,True
"[0.11038551479578018, 1.4115548133850098, 0.6403278708457947, -0.19756865501403809, 0.10031581670045853, 0.297424852848053, 0.0, 0.0]",3,{},-2.540318,True
"[0.11700830608606339, 1.4065418243408203, 0.6491185426712036, -0.22373424470424652, 0.11340287327766418, 0.2617653012275696, 0.0, 0.0]",1,{},-1.2333753,True
"[0.12357082217931747, 1.4009122848510742, 0.6415623426437378, -0.2513791620731354, 0.12802693247795105, 0.29250794649124146, 0.0, 0.0]",1,{},-1.245021,True
"[0.13005122542381287, 1.3946729898452759, 0.6313153505325317, -0.27882179617881775, 0.14471274614334106, 0.3337469696998596, 0.0, 0.0]",3,{},-2.7800667,True
"[0.13660402595996857, 1.3878649473190308, 0.6405025720596313, -0.30409032106399536, 0.15948712825775146, 0.29551464319229126, 0.0, 0.0]",2,{},-0.80275214,True
"[0.14311695098876953, 1.3810642957687378, 0.6364322304725647, -0.3039088547229767, 0.17437928915023804, 0.2978702485561371, 0.0, 0.0]",3,{},-2.7546031,True
"[0.14971598982810974, 1.3736770153045654, 0.6472653150558472, -0.329856276512146, 0.18707500398159027, 0.25393760204315186, 0.0, 0.0]",2,{},-0.29071614,True
"[0.15635117888450623, 1.3668087720870972, 0.6501120328903198, -0.3070088028907776, 0.20058302581310272, 0.27018454670906067, 0.0, 0.0]",2,{},-1.4462378,True
