obs,acts,infos,rews,terminal
"[0.0006880760192871094, 1.413778305053711, 0.0696793720126152, 0.12703292071819305, -0.0007905310485512018, -0.015783393755555153, 0.0, 0.0]",0,{},1.8890487,True
"[0.0013760566944256425, 1.4160587787628174, 0.06958533823490143, 0.10134772956371307, -0.001570423017255962, -0.015598719008266926, 0.0, 0.0]",0,{},1.8384694,True
"[0.0020640373695641756, 1.4177393913269043, 0.06958777457475662, 0.07470043748617172, -0.0023498882073909044, -0.015590767376124859, 0.0, 0.0]",0,{},1.5674946,True
"[0.002752113388851285, 1.4188200235366821, 0.06959008425474167, 0.04802904278039932, -0.003129243617877364, -0.015588581562042236, 0.0, 0.0]",0,{},1.0496768,True
"[0.0034400939475744963, 1.4193007946014404, 0.06959238648414612, 0.021360645070672035, -0.003908481448888779, -0.015586154535412788, 0.0, 0.0]",0,{},0.23385172,True
"[0.004128170199692249, 1.4191813468933105, 0.06959469616413116, -0.005307661835104227, -0.004687604960054159, -0.015583716332912445, 0.0, 0.0]",1,{},0.5053114,True
"[0.0047283172607421875, 1.4184682369232178, 0.058565653860569, -0.031686730682849884, -0.0032543474808335304, 0.028667664155364037, 0.0, 0.0]",0,{},-1.3341405,True
"[0.005328464321792126, 1.417155385017395, 0.058561038225889206, -0.05835522711277008, -0.0018222976941615343, 0.028643909841775894, 0.0, 0.0]",0,{},-1.7221955,True
"[0.005928611848503351, 1.415242314338684, 0.05855689197778702, -0.08502369374036789, -0.00038999677053652704, 0.028648976236581802, 0.0, 0.0]",1,{},-1.9489609,True
"[0.0064560892060399055, 1.4127215147018433, 0.04946967214345932, -0.11203692108392715, 0.002862884197384119, 0.06506351381540298, 0.0, 0.0]",0,{},-2.4921324,True
"[0.006983566097915173, 1.409600853919983, 0.049459781497716904, -0.13870595395565033, 0.006114497315138578, 0.065037801861763, 0.0, 0.0]",1,{},-2.4704,True
"[0.0074443817138671875, 1.405879259109497, 0.04110577329993248, -0.16542884707450867, 0.011038717813789845, 0.09849314391613007, 0.0, 0.0]",0,{},-2.658943,True
"[0.007905006408691406, 1.4015579223632812, 0.041091062128543854, -0.19209909439086914, 0.015961451455950737, 0.0984637588262558, 0.0, 0.0]",0,{},-2.6151998,True
"[0.008365536108613014, 1.3966370820999146, 0.04107684642076492, -0.21876949071884155, 0.02088380604982376, 0.09845571219921112, 0.0, 0.0]",0,{},-2.5662594,True
"[0.008825969882309437, 1.3911164999008179, 0.041062649339437485, -0.24543990194797516, 0.0258054006844759, 0.09844096004962921, 0.0, 0.0]",2,{},1.3330027,True
"[0.009389877319335938, 1.3860230445861816, 0.0508403480052948, -0.22648309171199799, 0.031296953558921814, 0.10984095185995102, 0.0, 0.0]",0,{},-2.5895557,True
"[0.009953593835234642, 1.3803297281265259, 0.050824664533138275, -0.2531623840332031, 0.03678719326853752, 0.10981478542089462, 0.0, 0.0]",2,{},0.30257556,True
"[0.010660171508789062, 1.3748654127120972, 0.06433958560228348, -0.24301888048648834, 0.043042369186878204, 0.12511447072029114, 0.0, 0.0]",3,{},-2.692328,True
"[0.011449813842773438, 1.368799090385437, 0.07475542277097702, -0.2697419226169586, 0.04720805585384369, 0.08332135528326035, 0.0, 0.0]",1,{},-2.3610804,True
"[0.01214447058737278, 1.3621271848678589, 0.06284943222999573, -0.29675012826919556, 0.053760919719934464, 0.1310690939426422, 0.0, 0.0]",3,{},-2.5147288,True
"[0.012903213500976562, 1.3548681735992432, 0.07090325653553009, -0.3228136897087097, 0.05868389829993248, 0.09846842288970947, 0.0, 0.0]",3,{},-2.3515258,True
"[0.013760757632553577, 1.3470101356506348, 0.08328721672296524, -0.3493410348892212, 0.06112485006451607, 0.04882324859499931, 0.0, 0.0]",2,{},3.112058,True
"[0.014391708187758923, 1.3397003412246704, 0.06145964190363884, -0.32494643330574036, 0.06273167580366135, 0.03213948383927345, 0.0, 0.0]",3,{},-2.0014555,True
"[0.015108585357666016, 1.3317903280258179, 0.07225324958562851, -0.35152894258499146, 0.06217779591679573, -0.011078624054789543, 0.0, 0.0]",2,{},2.6319768,True
"[0.015864849090576172, 1.324399709701538, 0.07578764110803604, -0.32846540212631226, 0.06202152371406555, -0.003125696675851941, 0.0, 0.0]",2,{},3.7810664,True
"[0.016530323773622513, 1.317744255065918, 0.06687018275260925, -0.2957877516746521, 0.06170062720775604, -0.006417960859835148, 0.0, 0.0]",0,{},-1.8495451,True
"[0.017195796594023705, 1.3104887008666992, 0.06687018275260925, -0.32245442271232605, 0.061379726976156235, -0.006417997181415558, 0.0, 0.0]",2,{},3.6452897,True
"[0.017903804779052734, 1.3040170669555664, 0.07066087424755096, -0.28763407468795776, 0.06151723116636276, 0.002750008599832654, 0.0, 0.0]",1,{},-1.9734932,True
"[0.01854267157614231, 1.2969366312026978, 0.06198924034833908, -0.31476444005966187, 0.06339887529611588, 0.03763258829712868, 0.0, 0.0]",3,{},-2.0749407,True
"[0.01925802230834961, 1.2892519235610962, 0.07156632840633392, -0.34154558181762695, 0.06336919218301773, -0.0005934946238994598, 0.0, 0.0]",2,{},0.58436674,True
"[0.020113373175263405, 1.2816836833953857, 0.08477229624986649, -0.33639994263648987, 0.06412594020366669, 0.015135196037590504, 0.0, 0.0]",1,{},-1.8541865,True
"[0.020900536328554153, 1.2735201120376587, 0.0762258842587471, -0.3629285991191864, 0.06658732146024704, 0.049227699637413025, 0.0, 0.0]",3,{},-1.9603542,True
"[0.021767711266875267, 1.264768123626709, 0.08627064526081085, -0.38899606466293335, 0.06702646613121033, 0.008782683871686459, 0.0, 0.0]",1,{},-1.7527769,True
"[0.022568415850400925, 1.255417823791504, 0.07794788479804993, -0.415662556886673, 0.06912858784198761, 0.04204196110367775, 0.0, 0.0]",2,{},3.7346375,True
"[0.023360157385468483, 1.2468457221984863, 0.07679717242717743, -0.38110262155532837, 0.07148304581642151, 0.04708937555551529, 0.0, 0.0]",2,{},0.6181311,True
"[0.02414522133767605, 1.2383427619934082, 0.0760069340467453, -0.3780323565006256, 0.07395396381616592, 0.04941830039024353, 0.0, 0.0]",2,{},1.1824161,True
"[0.02494983747601509, 1.2300617694854736, 0.07768826186656952, -0.3681808412075043, 0.07670280337333679, 0.05497695878148079, 0.0, 0.0]",2,{},0.4984683,True
"[0.02565917931497097, 1.2217892408370972, 0.06845012307167053, -0.367791086435318, 0.07915561646223068, 0.04905618354678154, 0.0, 0.0]",2,{},2.4296541,True
"[0.026471327990293503, 1.214086651802063, 0.07797203212976456, -0.3425179123878479, 0.08236831426620483, 0.0642537921667099, 0.0, 0.0]",2,{},3.4267507,True
"[0.027224253863096237, 1.2071291208267212, 0.07197955995798111, -0.30940917134284973, 0.08564936369657516, 0.0656215101480484, 0.0, 0.0]",3,{},-2.1963704,True
"[0.028072070330381393, 1.1995781660079956, 0.08387808501720428, -0.3356495797634125, 0.08654256165027618, 0.017863977700471878, 0.0, 0.0]",2,{},1.4939111,True
"[0.029035091400146484, 1.1923843622207642, 0.09460704773664474, -0.31982189416885376, 0.08822210133075714, 0.033590443432331085, 0.0, 0.0]",2,{},1.9080731,True
"[0.029980849474668503, 1.1855815649032593, 0.09270180761814117, -0.30246058106422424, 0.09009208530187607, 0.03739965707063675, 0.0, 0.0]",3,{},-2.067256,True
"[0.03101196326315403, 1.1781904697418213, 0.10339339077472687, -0.328479140996933, 0.08980755507946014, -0.005690583493560553, 0.0, 0.0]",2,{},2.2689476,True
"[0.03212594985961914, 1.1713154315948486, 0.11099091917276382, -0.3055814206600189, 0.09021405875682831, 0.008130252361297607, 0.0, 0.0]",1,{},-1.7669194,True
"[0.033175278455019, 1.1638405323028564, 0.10287962853908539, -0.3323386609554291, 0.09224139153957367, 0.040546584874391556, 0.0, 0.0]",3,{},-2.0408351,True
