,curr_heading,track_error_deg,curr_alt_ft,altitude_error_ft,new_episode,action,altitude_out_of_bounds,altitude_reward,heading_reward,on_target,reward,heading_target,altitude_target,remaining fuel pounds
0,269.9965122853116,0.0034877146883900423,3000.1275987438858,0.12759874388575554,1,1,0,0.49969395529261373,0.4999302895030711,1.0,0.9996242447956849,270,3000,199.99514617336789
1,270.69439630445703,-0.6943963044570296,3001.1414937525988,1.1414937525987625,0,3,0,0.49726213510526257,0.48612079376489414,,0.9833829288701568,270,3000,199.99053920538455
2,272.1035284780706,-2.1035284780705865,3001.9369104616344,1.9369104616343975,0,3,0,0.49535433361322767,0.45795584541396867,,0.9533101790271963,270,3000,199.9861664768404
3,270.82673215626335,-0.826732156263347,3001.0862532518804,1.0862532518804073,0,6,0,0.4973946290653391,0.48347573853097475,,0.9808703675963139,270,3000,199.9819943756538
4,269.28349104814293,0.7165089518570653,3002.1828886158764,2.1828886158764362,0,3,0,0.49476435670635593,0.48567881849558536,,0.9804431752019414,270,3000,199.9779884170291
5,268.8820103694837,1.1179896305163197,3004.9963769875467,4.996376987546682,0,3,0,0.48801622424657554,0.477654246500089,,0.9656704707466646,270,3000,199.97412464479282
6,268.6921735889891,1.3078264110109217,3006.3057599514723,6.305759951472282,0,3,0,0.4848756782361065,0.47385989475803403,,0.9587355729941405,270,3000,199.9703830662209
7,267.84500669391434,2.1549933060856574,3005.6320019699633,5.632001969963312,0,6,0,0.48649168210903443,0.4569271951212026,,0.943418877230237,270,3000,199.9667433646387
8,267.09182782253527,2.908172177464735,3006.8570822402835,6.857082240283489,0,3,0,0.48355333552789104,0.44187307570740686,,0.9254264112352979,270,3000,199.96318722217788
9,267.0855319478392,2.914468052160828,3009.8340660743415,9.834066074341536,0,3,0,0.4764130603289135,0.4417472372736816,,0.9181602976025951,270,3000,199.95970170059525
10,267.7946211923862,2.2053788076137835,3011.4214729219675,11.421472921967506,0,3,0,0.47260567595042985,0.45592011780457575,,0.9285257937550055,270,3000,199.95627358622627
11,268.41301364741685,1.5869863525831533,3011.07106564939,11.07106564939022,0,6,0,0.4734461253775652,0.46828020146647653,,0.9417263268440417,270,3000,199.9528910014515
12,268.7762991249688,1.223700875031227,3012.505648493767,12.505648493766785,0,2,0,0.4700052883171174,0.4755413490745486,,0.945546637391666,270,3000,199.94954430562595
13,269.92954476040654,0.07045523959345701,3015.6442765705287,15.644276570528746,0,3,0,0.46247731051659,0.498591779947006,,0.961069090463596,270,3000,199.94622824414236
14,271.1079195841279,-1.1079195841278988,3017.446245778352,17.446245778352022,0,3,0,0.4581552997966316,0.4778555209736497,,0.9360108207702813,270,3000,199.94293669435882
15,270.7400002539172,-0.7400002539171737,3017.3387621603906,17.338762160390615,0,6,0,0.45841309851318696,0.48520928744547664,,0.9436223859586637,270,3000,199.93966409295206
16,269.77624182213543,0.22375817786456764,3018.9193745218217,18.919374521821737,0,3,0,0.454622010662992,0.4955276462771469,,0.9501496569401389,270,3000,199.93640606631897
17,268.8131621368181,1.1868378631818928,3022.1589624993503,22.15896249935031,0,3,0,0.44685188123661845,0.47627814640572697,,0.9231300276423454,270,3000,199.93316146594688
